Province,District,MOH/QC/Camp,"Date of last positive
case","Cases from 4th
October 2020"
Western,Colombo,CMC,31/05/2021,22476
Western,Colombo,Battaramulla,31/05/2021,1080
Western,Colombo,Boralesgamuwa,31/05/2021,1697
Western,Colombo,Dehiwala,31/05/2021,2020
Western,Colombo,EgodaUyana,30/05/2021,328
Western,Colombo,Gothtuwa,31/05/2021,2075
Western,Colombo,Hanwella,31/05/2021,2675
Western,Colombo,Homagama,31/05/2021,1654
Western,Colombo,Kaduwela,31/05/2021,1961
Western,Colombo,Kahathuduwa,28/05/2021,387
Western,Colombo,Kesbewa,30/05/2021,1281
Western,Colombo,Kolonnawa,31/05/2021,1715
Western,Colombo,Maharagama,31/05/2021,1743
Western,Colombo,Moratuwa,31/05/2021,1990
Western,Colombo,Nugegoda,31/05/2021,1146
Western,Colombo,Padukka,31/05/2021,1054
Western,Colombo,Piliyandala,31/05/2021,2204
Western,Colombo,Pitakotte,31/05/2021,1115
Western,Colombo,Rathmalana,31/05/2021,1046
Western,Colombo,PMSD-STF,9/12/2020,2
Western,Colombo,PMSD - NFTH,16/12/2020,7
Western,Colombo,POLICE HOSPITAL,23/12/2020,3
Western,Colombo,US EMBASSY,25/12/2020,1
Western,Colombo,QC MT LAVINIA,14/05/2021,17
Western,Colombo,MARADANA POLICE ACCOMMODATION,27/12/2020,34
Western,Colombo,QC RAJAGIRIYA,10/5/2021,30
Western,Colombo,GSH QC COLOMBO,23/05/2021,11
Western,Colombo,OZO QC,5/3/2021,2
Western,Colombo,NAVY HOSPITAL,28/05/2021,5
Western,Colombo,RUSIRUMAL QC,11/1/2021,1
Western,Colombo,QC PITIPANA,26/05/2021,44
Western,Colombo,QC PEARL GRAND HOTEL,2/4/2021,4
Western,Colombo,BERJAYA HOTEL,18/03/2021,3
Western,Colombo,MOVENPICK,26/04/2021,4
Western,Colombo,TAMRIND TREE,23/03/2021,1
Western,Colombo,SRI LANKAN LEGENDS,29/03/2021,1
Western,Colombo,OCEAN EDGE SUITES AND HOTEL,30/03/2021,2
Western,Colombo,QC DIYAGAMA,29/05/2021,23
Western,Colombo,SAPPHIRE HOTEL,12/4/2021,1
Western,Colombo,COLOMBO COURT HOTEL,4/5/2021,2
Western,Colombo,RANVELI BEACH,23/05/2021,3
Western,Colombo,TAJ SAMUDRA,12/5/2021,5
Western,Colombo,SLAF COLOMBO,21/05/2021,7
Western,Colombo,HILTON,1/5/2021,1
Western,Colombo,CINEMON LIFE COLOMBO,14/05/2021,2
Western,Colombo,MIRAJ HOTEL,14/05/2021,2
Western,Gampaha,Attanagalla,31/05/2021,1849
Western,Gampaha,Biyagama,31/05/2021,3281
Western,Gampaha,Divulapitiya,31/05/2021,1598
Western,Gampaha,Dompe,31/05/2021,1727
Western,Gampaha,Gampaha,31/05/2021,2787
Western,Gampaha,Ja-ela,31/05/2021,1857
Western,Gampaha,Katana,31/05/2021,833
Western,Gampaha,Kelaniya,31/05/2021,2758
Western,Gampaha,Mahara,31/05/2021,3377
Western,Gampaha,Minuwangoda,31/05/2021,2044
Western,Gampaha,Mirigama,31/05/2021,971
Western,Gampaha,Negombo,31/05/2021,2609
Western,Gampaha,Ragama,31/05/2021,1985
Western,Gampaha,Seeduwa,31/05/2021,2180
Western,Gampaha,Wattala,31/05/2021,2387
Western,Gampaha,Welisara Navy baseHosp,7/3/2021,44
Western,Gampaha,Katunayaka Air force Hosp,30/04/2021,84
Western,Gampaha,Biyagama village QC,2/5/2021,12
Western,Gampaha,Sea Shine Hotel Uswetakeyyawa,10/12/2020,12
Western,Gampaha,AIRPORT GARDEN QC,14/03/2021,4
Western,Gampaha,SRI LANKA CATERING-AREA,22/12/2020,13
Western,Gampaha,BRANDIX QC,27/03/2021,15
Western,Gampaha,GOLDI SAND HOTEL QC,11/5/2021,22
Western,Gampaha,RANWILLA HOTEL-NEGAMBO,16/01/2021,1
Western,Gampaha,DALUPOTHA CCYO CAMP,29/01/2021,14
Western,Gampaha,ICC YAKKALA,31/01/2021,9
Western,Gampaha,QC TOPAZ HOTEL,26/02/2021,1
